origin,person,personal-id,sampling_event_code_2022,molecular-id_AHE,Subfamily,tribe,tribe_uncert,subtribe,genus,genus_uncert,species,species_uncert,sex,sex_uncert,date_DNAextraction,year,country,Date,collector,collection_Method,Country,cooY,cooX,altitude,location,AHE1,AHE1 length,AHE-BLAST,AHE-BLAST hit,AHE-identity(coverage),iPhycl,AHE1 iPhycl-Ca. Phytoplasma ass.,AHE1 iPhycl-16S group/subgroup classification,RFLP unique restriction enzymes,AHE2 length,AHE1-AHE2,AHE2 iPhycl-Ca. Phytoplasma ass.,AHE2 iPhycl-16S group/subgroup classification,CAT-AHE,CATcons-AHE,AHE probe kit 2,qPCR,qPCR-Cq,CAT-qPCR
not in GoLife,JZ,CHI_023+,21ZA,P004_WH04 check,Deltocephalinae,Chiasmini,,,Aconurella,,prolixa,,M,,,2004,South Africa,12-Dec-04,J.N. Zahniser,sweep,South Africa,"33°38'52.9""S","19°38'18.1""E",314,"W.Cape Prov., Leipzig Farm",part,807,,,,,,,,1454,identical but longer,,,full,phy,,pos,38.086,oB
GoLife,YC,35-26.1,r,P012_WC08,Deltocephalinae,Deltocephalini,,,Amplicephalus,,maculellus,,M,,,2015,Brazil,14-Mar-15,C.H. Dietrich,vacuum,Brazil,"20°05'55.6""S","43°29'12.4""W",1280,"MG, Santuario do Caraça, Lobo Guará Trl.",neg,na,,,,,,,,0,,,,na,neg,,pos,28.718,phy
GoLife,,42-36.1,r,P007_WG07,Deltocephalinae,Scaphoideini,,-,Scaphoidula,,dentata,,M,,,2016,Brazil,25-Mar-16,D.M. Takiya,sweep,Brazil,"3°21'36.0""N","61°25'55.2""W",100,"Roraima, Reserva Maracá",part,150,,,,,,,,621,identical but longer,,,part,oB,,pos,33.05,oB
GoLife,YC,42-43.1,,,Deltocephalinae,Macrostelini,,,Balclutha,,n.sp.FI1,,M,,,,Fiji,missing,,,Fiji,missing,FBA084382,,,na,,,,,,,,,,,,,,,,pos,30.984,
GoLife,,42-53.1,26PH,P012_WD03,Deltocephalinae,Scaphoideini,,,n.gen.PH1,,n.sp.,,M,,,2012,Philippines,1-Apr-12,T.A. Catanach,sweep,Philippines,"8°09'37.8""N","124°55'54.0""E",1885,"Mindanao, Bukidnon, Mt. Kitanglad summit trail ",part,423,,,,,,,,1539,identical but longer and 1 bp differenrt and several N,,,full,phy,,pos,29.881,phy
GoLife,,30-14.1,,,Deltocephalinae,Opsiini,,Circuliferina,Dixianus,,utahnus,,M,,,2013,Usa,17-23.vi.2013,A.S. Menke,Malaise,USA,"31°24'23.0""N","109°55'57.0""W",1585,Arizona Cochise Co; Bisbee 1429 Franklie Street,na,,,,,,,,,,,,,,,,pos,33.582,
GoLife,,47-24.1,r,P009_WF08,Deltocephalinae,Opsiini,,Circuliferina,Neoaliturus,,angulatus,,M,,,1999,South Africa,17-22-Nov-1999,M.E. Irwin,Malaise,South Africa,"33°33'46.2""S","24°21'07.2""E",620,"Eastern Cape, Wolwekraal Farm, Bauaiaanskloof Mtns, 29 km S Steytlerville",part,356,,,,,,,,0,identical but 0,,,na,neg,,pos,30.999,oB
GoLife,ER,3-2.1,r,P001_WC07,Deltocephalinae,Scaphoideini,,,Anoplotettix,,putoni,,M,,,2010,France,29-Jun-10,J.N. Zahniser,sweep,France,"44°15'15.1""N","5°04'27.2""E",,Vaison la Romaine,part,586,,,,,,,,1431,identical but longer,,,full,oB,,pos,32.728,oB
GoLife,ER,30-38,34AU,P002_WE02,Deltocephalinae,Deltocephalini,,,Horouta,,aristarche,,M,,,2015,Australia,22-Feb-15,C.H. Dietrich,vacuum,Australia,"27°15'14.4""S","152°06'25.6""E",454,"QLD, Crow's Nest N.P. ",part,99,,,,,,,,399,identical but longer,,,part,oB,,pos,34.794,oB
GoLife,,41-17,r,P014_WB11,Deltocephalinae,Deltocephalini,,,n.gen.AU3,,n.sp.2,,M,,,2011,Australia,13-Nov-11,"K. Hill, D. Marshall",Hg light,Australia,"16°13'22.4""S","135°58'03.5""E",,"NT, ~65 km W Borrolooly on rd. to Roper Barr nr. Tawallah Station ",part,533,,,,,,,,910,identical but longer,"The query 16S rDNA sequence shares less than 97.5% similarity with that of any previously recognized ‘Candidatus Phytoplasma’ species reference strain. The most closely related phytoplasma is ‘'Candidatus Phytoplasma oryzae' ’ (GenBank accession: AB052873), whose 16S rDNA sequence shares 95.1060358890702% similarity with the query. According to IRPCM (2004), the phytoplasma under study may represent a new ‘Candidatus Phytoplasma’ species. Please be advised that operation of iPhyClassifier is soley dependant upon sequence information, any error in a query seqeunce, which misrepresents the phytoplasma strain under study, could result in errorneous 'Candidatus Phytoplasma' species assignment. Please make sure the accuracy of your query sequence before using iPhyClassifier",too short to run,part,phy,,pos,30.88,oB
GoLife,YC,35-17.1,31PH,P006_WF08,Deltocephalinae,Scaphoideini,,-,n.gen.PH1,,n.sp.2,,M,,,2012,Philippines,3-Apr-12,T.A. Catanach,Hg light,Philippines,"8°09'54.6""N","124°55'57.6""E",1773,"Mindanao, Bukidnon, Mt. Kitanglad summit trail ",part,150,,,,,,,,0,,,,na,neg,,pos,27.826,phy
GoLife,AP,1.76 MEXSLP160,,P003_WD06,Deltocephalinae,Deltocephalini,,-,Sanctanus,,fasciatus,,M,,,2017,Mexico,5-Sep-17,Juan Cruzado Cortez,visual collection,Mexico,"22°13'23.102""N","98°57'49.78""W",323,"San Luis Potosi, Ciudad Valles, Reserva de la Biosfera Sierra del Abra Tanchipa, Los Pamer, Ejido Laguna del Mante",part,179,,,,,,,,225,identical but longer,,,part,oB,,pos,35.761,oB
GoLife,AP,1.05,,,Deltocephalinae,Athysanini,,,Cahya,,variabilis,,M,,,2018,Mexico,3-Mar-18,A. Pinedo-Escatel,sweep,Mexico,"16°25'40""N","95°58'16.8""W",870,"Oaxaca,sobre rio a la orilla de pueblo San Bartolo Yautepec",,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.16,,,Deltocephalinae,Athysanini,,,Ollarianus,,,,M,,,2018,Mexico,30-Sep-18,A. Pinedo-Escatel,light,Mexico,"18°21'49.0""N","99°29'03.9""W",885,"Guerrero, Tuxpan",,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.17,,,Deltocephalinae,Athysanini,,,Ollarianus,,,,M,,,2018,Mexico,8-Sep-18,A. Pinedo-Escatel,light,Mexico,"19°42'02.1""N","104°01'41.6""W",864,"Jalisco, Sierra de Tuxcacuesco a 5.5 km del pueblo Tuxcacuesco",,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.18,,,Deltocephalinae,Athysanini,,,Norvellina,,pulchella,,M,,,2017,Mexico,14-Aug-17,A. Pinedo-Escatel,light,Mexico,"20°37'25.5""N","98°46'59.5""W",1336,Hidalgo,,,,,,,,,,,,,,,,,neg,,
not in GoLife,AP,1.2,,,Deltocephalinae,Stenometopiini,,,Stirellus,,sp.B,,M,,,2019,Mexico,13-Apr-19,A. Trejo,sweep,Mexico,"17°17'27.2""N","91°56'27.4""W",344,Chiapas,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.21,,,Deltocephalinae,Stenometopiini,,,Stirellus,,,,M,,,2019,Mexico,13-Apr-19,A. Trejo,sweep,Mexico,"17°17'27.2""N","91°56'27.4""W",344,Chiapas,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.27,,,Deltocephalinae,Cicadulini,,,Knullana,,,,M,,,2018,Mexico,1-Sep-18,D. Camarena,,Mexico,"20°39'42.98""N","103°42'19.56""W",1341,Jalisco,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.29,,,Deltocephalinae,Acinopterini,,,Acinopterus,,,,M,,,2017,Mexico,1-Sep-17,Ricardo Chan,Malaise,Mexico,"20°48'42.33""N","89°24'56.07""W",17,Yucatán,,,,,,,,,,,,,,,,,neg,,
not in GoLife,AP,1.3,,,Deltocephalinae,Faltalini,,,Tenucephalus,,,,F,,,2017,Mexico,3-Nov-17,A. Pinedo-Escatel,sweep,Mexico,"19°41'20.0""N","104°23'48.2""W",1651,"Reserva de la Biosfera Sierra de Manantlan, Puerto Los Masos",,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.31,,,Deltocephalinae,Hecalini,,Hecalina,Spangbergiella,,,,M,,,2019,Mexico,13-Apr-19,A. Pinedo-Escatel,sweep,Mexico,"17°19'23.8""N","91°55'35.6""W",180,Chiapas,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.32,,,Deltocephalinae,Hecalini,,Hecalina,Jiutepeca,,,,M,,,2018,Mexico,30-Sep-18,A. Pinedo-Escatel,sweep,Mexico,"18°13'32.0""N","99°41'37.9""W",755,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.39,,,Deltocephalinae,Athysanini,,,Alladanus,,n.sp.,,F,,,2018,Mexico,28-Sep-18,A. Pinedo-Escatel,sweep,Mexico,"18°35'09.1""N","099°40'22.8""W",2320,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.41,,,Deltocephalinae,Athysanini,,,Bardana,,n.sp.2,,M,,,2018,Mexico,8-Sep-18,Aguilar Perez Jose,light,Mexico,"19°42'02.1""N","104°01'41.6""W",864,Jalisco,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.42,,,Deltocephalinae,Athysanini,,,Spinulana,,n.sp.,,M,,,2018,Mexico,30-Sep-18,A. Pinedo-Escatel,light,Mexico,"18°21'49.0""N","099°29'03.9""W",885,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.43,,,Deltocephalinae,Athysanini,,,Caranavia,,n.sp.,,F,,,2017,Mexico,5-Sep-17,,,Mexico,"22°13'23.102""N","98°57'49.78""W",323,San Luis Potosi,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.45,,,Deltocephalinae,Athysanini,,,Comayagua,,taeniata,,F,,,2018,Mexico,28-Feb-18,A. Pinedo-Escatel,sweep,Mexico,"16°10'22""N","96°30'22""W",2456,Oaxaca,,,,,,,,,,,,,,,,,neg,,
not in GoLife,AP,1.5,,,Deltocephalinae,Athysanini,,,Bonneyana,,schwarzi,,F,,,2018,Mexico,15-May-18,"V.Z.G, F.J.M.R.",light,Mexico,"27°19'56.31""N","104°52'17.68""W",1333,"poblado Jose Mariano Jimenez, Rancho Nogalero El Rosario",,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.52,,,Deltocephalinae,Athysanini,,,Idiodonus,,plummeri,,F,,,2017,Mexico,16-Aug-17,A. Pinedo-Escatel,sweep,Mexico,"20°58'59.6""N","98°37'58.1""W",1456,Hidalgo,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.53,,,Deltocephalinae,Athysanini,,,Pseutettix,,binotata,,F,,,2018,Mexico,14-Aug-18,A. Pinedo-Escatel,sweep,Mexico,"21°50'25.6""N","99°28'18.7""W",1192,San Luis Potosi,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.56,,,Deltocephalinae,Athysanini,,,Conversana,,n.sp.,,F,,,2018,Mexico,28-Sep-18,A. Pinedo-Escatel,light,Mexico,"18°35'09.1""N","99°40'22.8""W",2320,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.57,,,Deltocephalinae,Athysanini,,,Jaacunga,,n.sp.,,M,,,2018,Mexico,28-Sep-18,A. Pinedo-Escatel,light,Mexico,"18°35'09.1""N","99°40'22.8""W",2320,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.58,,,Deltocephalinae,Athysanini,,,Bardana,,n.sp.,,M,,,2018,Mexico,4-Jun-18,A. Pinedo-Escatel,light,Mexico,"20°33'08.9""N","104°54'16.4""W",1065,Jalisco,,,,,,,,,,,,,,,,,neg,,
not in GoLife,AP,1.6,,,Deltocephalinae,Athysanini,,,Angulanus,,n.sp.2,,M,,,2018,Mexico,3-May-18,Juan Cruzado Cortez,visual collection,Mexico,"22°23'11.7""N","98°58'35.5""W",499,"Reserva de la Biosferera Sierra del Abra Tanchipa, La Florida",,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.63,,,Deltocephalinae,Athysanini,,,Colladonus,,fasciaticollis,,F,,,2018,Mexico,9-Aug-18,A. Pinedo-Escatel,sweep,Mexico,"17°33'08.2""N","99°41'58.6""W",2335,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.67,,,Deltocephalinae,Athysanini,,,Acunasus,,n.sp.,,M,,,2018,Mexico,10-Jul-18,A. Pinedo-Escatel,sweep,Mexico,"19°51'57.32""N","103°45'54.30""W",1878,Jalisco,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.68,,,Deltocephalinae,Athysanini,,,Angulanus,,n.sp.,,M,,,2018,Mexico,3-Mar-18,A. Pinedo-Escatel,sweep,Mexico,"16°36'52.3""N","96°23'22.5""W",1700,Oaxaca,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.69,,,Deltocephalinae,Athysanini,,,Spinulana,,n.sp.2,,M,,,2019,Mexico,29-Jul-19,"A. Pinedo-Escatel, B. Morris, J. Aragon",light,Mexico,"16°24'24.3""N","95°42'35.9""W",536,Oaxaca,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.71,,,Deltocephalinae,Phlepsiini,,,Texananus,,,,M,,,2018,Mexico,2-Oct-18,A. Pinedo-Escatel,light,Mexico,"18°15'13.4""N","99°23'05.2""W",832,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.72,,,Aphrodinae,Xestocephalini,,,Xestocephalus,,,,M,,,2019,Mexico,12-Apr-19,A. Pinedo-Escatel,light,Mexico,"17°19'45.6""N","91°55'36.3""W",157,Chiapas,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.82,,,Deltocephalinae,Athysanini,,,Jaacunga,,n.sp.2,,F,,,2019,Mexico,29-Jul-19,"A. Pinedo-Escatel, B. Morris, J. Aragon",sweep,Mexico,"16°49'05.7""N","96°21'24.9""W",1906,Oaxaca,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.87,,,Deltocephalinae,,,,n.gen.,?,,,F,,,2019,Mexico,6-Apr-19,,,Mexico,"21°14'50.6""N","89°36'46.3""W",1,Yucatán,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.88,,,Deltocephalinae,Bahitini,,,Frequenamia,,guerrera,,M,,,2018,Mexico,2-Oct-18,A. Pinedo-Escatel,light,Mexico,"18°15'13.4""N","99°23'05.2""W",832,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.89,,,Deltocephalinae,Athysanini,,,Eutettix,,,,M,,,2019,Mexico,22-Feb-19,A. Pinedo-Escatel,light,Mexico,"19°29'43.1""N","103°43'16.6""W",1543,Jalisco,,,,,,,,,,,,,,,,,neg,,
not in GoLife,AP,1.9,,,Deltocephalinae,Athysanini,,,Norvellina,,n.sp.,,M,,,2019,Mexico,23-Feb-19,A. Pinedo-Escatel,light,Mexico,"19°29'41.6""N","103°43'17.1""W",1545,Jalisco,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.91,,,Deltocephalinae,Athysanini,,,Norvellina,,n.sp.,,M,,,2019,Mexico,22-Feb-19,A. Pinedo-Escatel,light,Mexico,"19°29'43.1""N","103°43'16.6""W",1543,Jalisco,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.93,,,Deltocephalinae,Athysanini,,,Norvellina,,sp.,cf. cinta?,M,,,2018,Mexico,7-Aug-18,A. Pinedo-Escatel,sweep,Mexico,"17°33'37.9""N","99°41'27.9""W",2244,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.99,,,Deltocephalinae,Athysanini,,,Usanus,,tuxcacuensis ,,M,,,2018,Mexico,8-Sep-18,A. Pinedo-Escatel,light,Mexico,"19°42'02.1""N","104°01'41.6""W",864,Jalisco,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,2.01,,,Deltocephalinae,Athysanini,,,Ollarianus,,tripartitus,,M,,,2018,Mexico,29-Sep-18,A. Pinedo-Escatel,light,Mexico,"18°10'59.6""N","99°40'24.1""W",607,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,2.03,,,Deltocephalinae,Athysanini,,,Ollarianus,,strictus,,M,,,2018,Mexico,7-Dec-18,A. Pinedo-Escatel,light,Mexico,"17°54'42.4""N","99°19'27.4""W",524,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,2.05,,,Deltocephalinae,,,,,,,,M,,,2018,Mexico,2-Oct-18,A. Pinedo-Escatel,light,Mexico,"18°15'13.4""N","99°23'05.2""W",832,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,2.06,,,Deltocephalinae,,,,,,,,M,,,2018,Mexico,2-Oct-18,A. Pinedo-Escatel,light,Mexico,"18°15'13.4""N","99°23'05.2""W",832,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,2.08,,,Deltocephalinae,Platymetopiini,,,Colladonus,,beameri,,M,,,2018,Mexico,28-Sep-18,A. Pinedo-Escatel,light,Mexico,"18°35'09.1""N","99°40'22.8""W",2320,Guerrero,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,2.09,,,Deltocephalinae,Athysanini,,,Idiodonus,,copulus,,M,,,2019,Mexico,29-Jul-19,"A. Pinedo-Escatel, B. Morris, J. Aragon",light,Mexico,"20°27'46.1""N","104°22'44.2""W",1682,Jalisco,,,,,,,,,,,,,,,,,neg,,
not in GoLife,AP,2.1,,,Deltocephalinae,Scaphoideini,,,,,,,M,,,2017,Mexico,15-Aug-17,A. Pinedo-Escatel,light,Mexico,"20°37'55.0""N","98°36'15.6""W",2067,Hidalgo,,,,,,,,,,,,,,,,,neg,,
GoLife,,2.11,,,Deltocephalinae,Limotettigini,,,Limotettix,,striola,,M,,,2005,Mexico,29-X-2005,C.H. Dietrich,sweep,Mexico,"25°20'59.2""N","101°01'39.2""W",1750,COAH:rt.54 S Saltillo,,,,,,,,,,,,,,,,,neg,,
GoLife,,2.12,,,Deltocephalinae,,,,,,,,M,,,2005,Mexico,30-X-2005,C.H. Dietrich,sweep,Mexico,"25°16'43.7""N","100°55'27.6""W",2400,COAH:Cuahtemoc rd. km 15.9,,,,,,,,,,,,,,,,,neg,,
GoLife,ER,11-Jan,,,Deltocephalinae,Stenometopiini,,,Hodoedocus,,n.sp.,,M,,,2007,Zambia,6.XI.2007,J.N. Zahniser,sweep,Zambia,"11°44'41.7""S","24°26'17.9""E",,Northwestern Prov.Mwinilunga,,,,,,,,,,,,,,,,,neg,,
GoLife,ER,12-Jan,,,Deltocephalinae,Scaphoideini,,,Scaphoidophyes,,sp.,,F,,,2007,Zambia,10.XI.2007,J.N. Zahniser,Hg light,Zambia,"12°55'03.8""S","28°15'52.6""E",1247,Copperbelt Prov.~12 km SSE of Kitwe Greystone Farm,,,,,,,,,,,,,,,,,neg,,
GoLife,ER,13-Jan,,,Deltocephalinae,Selenocephalini,,Adamina,Adama,,n.sp.,,M,,,2007,Zambia,"Nov. 5-9, 2007",J.R. Cryan,,Zambia,"11°48'48.5""S","24°21'58.5""E",1448,"North West, nr. Mwinilunga; ~4 km NE of Mushinshi",,,,,,,,,,,,,,,,,neg,,
GoLife,ER,19-Jan,,,Deltocephalinae,Bonaspeiini,,,Caffrolix,,,,F,,,2004,South Africa,11-XII-2004,J.N. Zahniser,sweep,South Africa,"34°38'56.8""S","20°12'40.1""E",8.54,WCape Prov. Arniston,,,,,,,,,,,,,,,,,neg,,
GoLife,ER,20-Jan,,,Deltocephalinae,Chiasmini,,,Exitianus,,n.sp.,,M,,,2007,Zambia,2.IX.2007,J.N. Zahniser,sweep,Zambia,"12°54'19.5""S","28°14'22.4""E",1151,Copperbelt Prov.~12 km SSE of Kitwe Kumasamba Lodge,,,,,,,,,,,,,,,,,neg,,
GoLife,ER,28-Jan,,,Deltocephalinae,Bonaspeiini,,,Caffrolix,,n.sp.,,M,,,2004,South Africa,7-XII-2004,J.N. Zahniser,sweep,South Africa,"33°45'24.5""S","18°27'55.0""E",231.2,WCape Prov. Blaauwberg Hill,,,,,,,,,,,,,,,,,neg,,
GoLife,ER,29-Jan,,,Deltocephalinae,Deltocephalini,,,n.gen.CM1,,n.sp.1,,M,,,2009,Cameroon ,15-30 Mar 2009,"J.R. Cryan, G.J. Svenson",,Cameroon ,"6°12'08.1""N","12°44'41.7""E",,Adamaoua; Mbam et Djerem National Park; WCS Guesthouse,,,,,,,,,,,,,,,,,neg,,
GoLife,ER,Jan-32,,,Deltocephalinae,Penthimiini,,,Vulturnus,,sp.,,F,,,2008,Madagascar,9-24 Nov. 2008,"J.R. Cryan, G.J. Svenson",,Madagascar,"21°15'15.2""S","47°25'17.8""E",,Fianarantsoa Prov.; Ranomafana National Park,,,,,,,,,,,,,,,,,neg,,
GoLife,ER,Jan-34,,,Deltocephalinae,Drabescini,,Paraboloponina,Odzalana,,,,F,,,2007,Zambia,"Nov. 5-9, 2007",J.R. Cryan,,Zambia,"11°48'48.5""S","24°21'58.5""E",1448,"North West, nr. Mwinilunga; ~4 km NE of Mushinshi",,,,,,,,,,,,,,,,,neg,,
GoLife,ER,Jan-40,,,Deltocephalinae,Selenocephalini,,Selenocephalina,Bumka,,armatissima,,M,,,2009,Cameroon ,15-30 Mar. 2009,"J.R. Cryan, G.J. Svenson",,Cameroon ,"5°03'02.1""N","8°56'41.0""E",,Southwest; nr. Korup National Park at bridge over river,,,,,,,,,,,,,,,,,neg,,
not in GoLife,ER,Jan-41,,,Deltocephalinae,Scaphoideini,,,Scaphoidophyes,,n.sp.,,M,,,2007,Zambia,11.VII.2007,J.N. Zahniser,Hg light,Zambia,"11°48'48.5""S","24°21'57.2""E",,Northwestern Prov.~11km SW Mwinilunga Nkunyi Local Forest,,,,,,,,,,,,,,,,,neg,,
